Date,Open,High,Low,Close,Adj Close,Volume
2010-05-06,9.065357,9.223214,7.116071,8.794643,7.519580,1285860800
2010-05-07,8.703929,8.806071,8.043214,8.423571,7.202306,1676018400
2010-05-10,8.937500,9.094643,8.876071,9.071071,7.755930,984306400
2010-05-11,8.994286,9.281786,8.946429,9.161429,7.833183,848906800
2010-05-12,9.258571,9.397500,9.239286,9.360357,8.003274,654379600
2010-05-13,9.400714,9.464286,9.157143,9.227143,7.889371,599712400
2010-05-14,9.112857,9.160000,8.910714,9.065000,7.750738,759362800
2010-05-17,9.096429,9.149286,8.846786,9.079286,7.762951,762834800
2010-05-18,9.177857,9.233929,8.937857,9.012857,7.706155,782678400
2010-05-19,8.910714,9.032857,8.744643,8.869286,7.583398,1025726800
2010-05-20,8.638571,8.708929,8.436071,8.491429,7.260324,1282915200
2010-05-21,8.315000,8.732143,8.262500,8.654286,7.399570,1223891200
2010-05-24,8.831429,8.960714,8.795000,8.812857,7.535149,754238800
2010-05-25,8.548214,8.812857,8.470000,8.757857,7.488126,1048006400
2010-05-26,8.931429,9.004643,8.705357,8.718214,7.454230,850654000
2010-05-27,8.950000,9.067500,8.896786,9.048214,7.736386,666282400
2010-05-28,9.263929,9.264286,9.048214,9.174286,7.844178,815614800
2010-06-01,9.274643,9.497857,9.248571,9.315357,7.964798,876472800
2010-06-02,9.447857,9.457143,9.297500,9.426786,8.060069,688548000
2010-06-03,9.470714,9.483929,9.300357,9.397143,8.034728,650106800
2010-06-04,9.221786,9.353571,9.093929,9.141429,7.816085,758304400
2010-06-07,9.224643,9.255357,8.948214,8.962143,7.662791,886942000
2010-06-08,9.044286,9.064286,8.773214,8.904643,7.613627,1000770400
2010-06-09,8.981071,8.996429,8.660357,8.685714,7.426441,854630000
