Date,Open,High,Low,Close,Adj Close,Volume
1994-12-01,7.843750,7.875000,7.718750,7.750000,4.530442,1376400
1994-12-02,7.718750,7.750000,7.687500,7.750000,4.530442,914400
1994-12-05,7.687500,7.718750,7.625000,7.656250,4.475640,1153200
1994-12-06,7.625000,7.656250,7.562500,7.625000,4.457370,1229200
1994-12-07,7.593750,7.593750,7.531250,7.531250,4.402567,1839200
1994-12-08,7.562500,7.562500,7.500000,7.500000,4.384299,1267200
1994-12-09,7.531250,7.531250,7.375000,7.406250,4.329496,1080800
1994-12-12,7.375000,7.437500,7.375000,7.406250,4.329496,702800
1994-12-13,7.375000,7.500000,7.375000,7.437500,4.347762,563600
1994-12-14,7.375000,7.468750,7.375000,7.468750,4.366032,1474800
1994-12-15,7.375000,7.531250,7.375000,7.437500,4.347762,706000
1994-12-16,7.500000,7.500000,7.406250,7.437500,4.347762,1554400
1994-12-19,7.500000,7.625000,7.437500,7.593750,4.439103,955200
1994-12-20,7.625000,7.625000,7.593750,7.625000,4.457370,792800
1994-12-21,7.593750,7.750000,7.531250,7.718750,4.512173,848400
1994-12-22,7.718750,7.937500,7.718750,7.875000,4.603516,1083600
1994-12-23,7.812500,7.843750,7.687500,7.781250,4.548708,317200
1994-12-27,7.781250,7.843750,7.562500,7.625000,4.457370,453600
1994-12-28,7.625000,7.625000,7.437500,7.500000,4.384299,404800
1994-12-29,7.406250,7.625000,7.406250,7.562500,4.420833,675200
1994-12-30,7.500000,7.718750,7.437500,7.718750,4.512173,858400
1995-01-03,7.781250,7.937500,7.781250,7.843750,4.585245,948800
1995-01-04,7.781250,7.812500,7.781250,7.812500,4.566979,540800
1995-01-05,7.812500,7.875000,7.781250,7.843750,4.585245,474400
1995-01-06,7.875000,7.875000,7.781250,7.843750,4.585245,1203200
1995-01-09,7.843750,7.968750,7.750000,7.781250,4.548708,758800
1995-01-10,7.812500,7.937500,7.781250,7.843750,4.585245,866400
1995-01-11,7.843750,7.875000,7.750000,7.843750,4.585245,297200
1995-01-12,7.843750,7.875000,7.781250,7.875000,4.603516,222800
1995-01-13,7.875000,8.093750,7.843750,8.062500,4.713119,842400
1995-01-16,8.062500,8.062500,7.937500,8.062500,4.713119,646800
1995-01-17,8.031250,8.125000,8.031250,8.062500,4.713119,1012400
1995-01-18,8.000000,8.000000,7.906250,7.968750,4.713860,201600
1995-01-19,7.843750,7.906250,7.843750,7.875000,4.658404,404800
1995-01-20,7.937500,7.968750,7.843750,7.968750,4.713860,647600
1995-01-23,7.875000,7.875000,7.843750,7.843750,4.639917,417600
1995-01-24,7.906250,7.968750,7.812500,7.843750,4.639917,647600
1995-01-25,7.812500,7.843750,7.781250,7.781250,4.602943,2340800
1995-01-26,7.812500,7.812500,7.718750,7.812500,4.621432,1425200
1995-01-27,7.812500,7.812500,7.781250,7.781250,4.602943,452000
1995-01-30,7.750000,7.781250,7.687500,7.687500,4.547489,804800
1995-01-31,7.687500,7.718750,7.687500,7.687500,4.547489,644000
1995-02-01,7.750000,7.750000,7.656250,7.687500,4.547489,1035600
1995-02-02,7.718750,7.750000,7.687500,7.718750,4.565975,1036800
1995-02-03,7.718750,7.843750,7.687500,7.687500,4.547489,958000
1995-02-06,7.781250,7.968750,7.781250,7.937500,4.695375,1739600
1995-02-07,7.968750,8.187500,7.968750,8.156250,4.824774,2263200
1995-02-08,8.156250,8.218750,8.156250,8.218750,4.861746,1373600
1995-02-09,8.187500,8.218750,8.093750,8.093750,4.787802,436400
1995-02-10,8.093750,8.218750,8.093750,8.218750,4.861746,462400
1995-02-13,8.281250,8.375000,8.156250,8.156250,4.824774,813200
1995-02-14,8.125000,8.125000,8.000000,8.062500,4.769316,826400
1995-02-15,8.125000,8.125000,8.093750,8.125000,4.806290,616000
1995-02-16,8.125000,8.312500,8.125000,8.218750,4.861746,584000
1995-02-17,8.218750,8.250000,8.125000,8.250000,4.880232,691200
1995-02-21,8.218750,8.281250,8.187500,8.218750,4.861746,1588400
1995-02-22,8.218750,8.281250,8.093750,8.093750,4.787802,754800
