Date,Open,High,Low,Close,Adj Close,Volume
1972-12-01,2.738281,2.761719,2.738281,2.753906,0.285014,3328000
1972-12-04,2.753906,2.753906,2.738281,2.738281,0.283397,1436800
1972-12-05,2.738281,2.750000,2.738281,2.742188,0.283801,1689600
1972-12-06,2.742188,2.757813,2.738281,2.750000,0.284610,2169600
1972-12-07,2.750000,2.761719,2.750000,2.761719,0.285822,1356800
1972-12-08,2.761719,2.769531,2.757813,2.765625,0.286227,1209600
1972-12-11,2.761719,2.761719,2.742188,2.742188,0.283801,1699200
1972-12-12,2.742188,2.761719,2.738281,2.742188,0.283801,1929600
1972-12-13,2.742188,2.753906,2.734375,2.742188,0.283801,1734400
1972-12-14,2.742188,2.746094,2.718750,2.718750,0.281375,2540800
1972-12-15,2.718750,2.726563,2.691406,2.718750,0.281375,1782400
1972-12-18,2.707031,2.707031,2.671875,2.691406,0.278545,1817600
1972-12-19,2.691406,2.695313,2.671875,2.679688,0.277332,1772800
1972-12-20,2.679688,2.695313,2.652344,2.652344,0.274502,2140800
1972-12-21,2.652344,2.664063,2.640625,2.656250,0.274907,1952000
1972-12-22,2.656250,2.691406,2.656250,2.687500,0.278141,902400
1972-12-26,2.687500,2.714844,2.687500,2.707031,0.280162,595200
1972-12-27,2.707031,2.722656,2.699219,2.707031,0.280162,1632000
1972-12-29,2.710938,2.738281,2.710938,2.734375,0.282992,1510400
1973-01-02,2.734375,2.757813,2.734375,2.750000,0.284610,1504000
1973-01-03,2.761719,2.796875,2.761719,2.785156,0.288248,1897600
1973-01-04,2.785156,2.796875,2.781250,2.792969,0.289056,1718400
1973-01-05,2.796875,2.820313,2.796875,2.808594,0.290673,3532800
1973-01-08,2.808594,2.824219,2.804688,2.820313,0.291886,1571200
1973-01-09,2.820313,2.824219,2.812500,2.820313,0.291886,5219200
1973-01-10,2.820313,2.832031,2.812500,2.820313,0.291886,2156800
1973-01-11,2.820313,2.863281,2.820313,2.847656,0.294716,4179200
1973-01-12,2.847656,2.890625,2.847656,2.886719,0.298759,2912000
1973-01-15,2.886719,2.917969,2.847656,2.851563,0.295120,4016000
1973-01-16,2.851563,2.855469,2.820313,2.835938,0.293503,2470400
1973-01-17,2.835938,2.855469,2.835938,2.851563,0.295120,1590400
1973-01-18,2.859375,2.898438,2.859375,2.882813,0.298355,2057600
1973-01-19,2.882813,2.929688,2.882813,2.921875,0.302398,1980800
1973-01-22,2.925781,2.972656,2.925781,2.925781,0.302802,3040000
1973-01-23,2.925781,2.937500,2.902344,2.902344,0.300376,2067200
1973-01-24,2.902344,2.921875,2.886719,2.902344,0.300376,2137600
1973-01-26,2.902344,2.914063,2.859375,2.914063,0.301589,4566400
1973-01-29,2.917969,2.941406,2.917969,2.921875,0.302398,2048000
1973-01-30,2.921875,2.937500,2.921875,2.937500,0.304014,1756800
1973-01-31,2.937500,2.968750,2.933594,2.960938,0.306440,2304000
1973-02-01,2.968750,2.980469,2.968750,2.968750,0.307249,2918400
1973-02-02,2.968750,2.968750,2.949219,2.960938,0.306440,2979200
1973-02-05,2.941406,2.941406,2.921875,2.925781,0.305869,1731200
1973-02-06,2.925781,2.925781,2.878906,2.886719,0.301785,2944000
1973-02-07,2.875000,2.875000,2.824219,2.828125,0.295659,4432000
1973-02-08,2.828125,2.855469,2.792969,2.855469,0.298518,6348800
1973-02-09,2.875000,2.917969,2.875000,2.914063,0.304644,2579200
1973-02-12,2.914063,2.917969,2.890625,2.902344,0.303418,2003200
1973-02-13,2.902344,2.906250,2.824219,2.839844,0.296885,3571200
1973-02-14,2.835938,2.835938,2.753906,2.765625,0.289125,5142400
1973-02-15,2.765625,2.765625,2.734375,2.750000,0.287492,2928000
1973-02-16,2.750000,2.777344,2.734375,2.773438,0.289942,2540800
